Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\CMTestBoard\Project Outputs for CMTestBoard\Pick Place for CMTestBoard.txt

========================================================================================================================
File Design Information:

Date:       07/06/21
Time:       19:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment         Layer    Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                 
TP14       5004            TopLayer FP-5004-MFG             930.000       3120.000      90       "PC TEST POINT MINIATURE YELLOW"                                                                                            
TP7        5004            TopLayer FP-5004-MFG             990.000       1745.000      0        "PC TEST POINT MINIATURE YELLOW"                                                                                            
TP6        5004            TopLayer FP-5004-MFG             1215.000      1515.000      0        "PC TEST POINT MINIATURE YELLOW"                                                                                            
R19        0402WGF750JTCE  TopLayer RESC1005X40X25ML05T10   890.000       1865.000      90       "75R 0402"                                                                                                                  
DS1        LTST-S270KGKT   TopLayer AVAG-HSMX-C190_V        895.003       1749.997      270      "LED Uni-Color Yellow, 65 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"                                        
D8         SP3030-01ETG    TopLayer FP-SP3030-MFG           745.000       3280.000      180      "TVS DIODE 5V 10V SOD882"                                                                                                   
D7         SP3030-01ETG    TopLayer FP-SP3030-MFG           915.000       3280.000      0        "TVS DIODE 5V 10V SOD882"                                                                                                   
U13        RT9166A-18GXL   TopLayer SOT-89_N                830.000       191.654       270      "Positive Voltage Regulator, 5V, 4-Pin SOT-89, Tape and Reel"                                                               
U12        XC6220B331MR-G  TopLayer TORX-SOT-25-5_M         1225.000      540.000       0        "1A LDO Voltage Regulator with CL discharge, 3.3 V, 1000 mA, -45 to 85 degC, 5-Pin SOT-25, RoHS, Reel"                      
U11        RT9166A-18GXL   TopLayer SOT-89_N                1184.055      191.850       270      "Positive Voltage Regulator, 5V, 4-Pin SOT-89, Tape and Reel"                                                               
U10        XC6220B331MR-G  TopLayer TORX-SOT-25-5_M         1190.000      750.000       360      "1A LDO Voltage Regulator with CL discharge, 3.3 V, 1000 mA, -45 to 85 degC, 5-Pin SOT-25, RoHS, Reel"                      
C52        CL05A105KA5NQNC TopLayer CAPC1005X55N            890.000       345.000       90       "1uF 0402"                                                                                                                  
C51        CL05A105KA5NQNC TopLayer CAPC1005X55N            690.000       295.000       180      "1uF 0402"                                                                                                                  
C50        CL05A105KA5NQNC TopLayer CAPC1005X55N            1242.833      350.030       90       "1uF 0402"                                                                                                                  
C49        CL05A105KA5NQNC TopLayer CAPC1005X55N            1025.000      290.000       180      "1uF 0402"                                                                                                                  
C48        CL05A106MQ5NUNC TopLayer CAPC1005X55N            1310.000      720.000       270      "10uF 0402"                                                                                                                 
C47        CL05A106MQ5NUNC TopLayer CAPC1005X55N            1195.000      435.000       360      "10uF 0402"                                                                                                                 
C46        CL05A106MQ5NUNC TopLayer CAPC1005X55N            1355.000      490.000       270      "10uF 0402"                                                                                                                 
C45        CL05A106MQ5NUNC TopLayer CAPC1005X55N            1145.000      885.000       90       "10uF 0402"                                                                                                                 
Y1         "12MHz SMD3325" TopLayer FP-7M-MFG               1175.000      1690.000      90       "CRYSTAL 32.0000MHZ 12PF SMD"                                                                                               
SPI        640456-6        TopLayer TECO-640456-6_V         1715.000      3505.000      360      "Male Header, Pitch 2.54 mm, 1 x 6 Position, Height 10.03 mm, Tail Length 3.56 mm, -55 to 105 degC, Bulk"                   
U1         STM32F427ZGT6   TopLayer STM-LQFP144_V           1085.000      2365.000      90       "ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 256 kB Internal RAM, 114 I/Os, 144-pin LQFP, -40 to 85 degC, Tray" 
USBB2      10103594-0001LF TopLayer FCI-10103594-0001LF_V   815.000       3605.000      180      "Micro USB 2.0 B Receptacle, -55 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"                                                
SW1        4-1437565-1     TopLayer TECO-4-1437565-1_V      335.000       3435.000      90       "Tactile Switch, 50 mA, 12 VDC, -20 to 85 degC, 4-Pin SMD, RoHS, Bulk"                                                      
R18        0402WGF1003TCE  TopLayer 0402                    910.000       3420.000      360      "100k 0402"                                                                                                                 
STMBOOT    95278-101A06LF  TopLayer AMPM-95278-101A06LF_V   1195.000      3490.000      270      "Male Header, Pitch 2.54 mm, 2 x 3 Position, Height 14.4 mm, RoHS, Tape and Reel"                                           
STLINK     61232020621     TopLayer 61232020621             257.874       2475.000      90       "Male Box Header WR-BHD, SMT, Vertical, pitch 2.54 mm, 20 pins"                                                             
FB1        BLM21AG102SN1D  TopLayer MURA-BLM21-H1-CHIP-2_V  1505.000      1830.000      180      "Chip Ferrite Bead for General Signal lines, 1000 Ohm, 500 mA, -55 to 125 degC, 2 x 1.25 x 1.05 mm SMD, Tape and Reel"      
C44        CL05A225MQ5NSNC TopLayer 0402                    1580.000      2730.000      270      "2.2uF 0402"                                                                                                                
C43        CL05A225MQ5NSNC TopLayer 0402                    780.000       2925.000      270      "2.2uF 0402"                                                                                                                
