Altium Designer Pick and Place Locations
C:\Users\dough\AppData\Local\TempReleases\Snapshot\12\Sources\Pick Place\Pick Place for CMTestBoard.csv

========================================================================================================================
File Design Information:

Date:       02/10/21
Time:       15:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U14","SMF05CT1G","TopLayer","ONSC-SC70-6-419B-02_W_V","19.3040","35.5600","180","5-Line Transient Voltage Suppressor Array, 6-Pin SC70, Pb-Free, Tape and Reel"
"R22","0402WGF1003TCE","TopLayer","0402","13.7160","39.3700","90","100k 0402"
"R21","0402WGF1801TCE","TopLayer","0402","23.2410","27.0510","90","1.8k 0402"
"R20","0402WGF1801TCE","TopLayer","0402","21.4630","27.0510","90","1.8k 0402"
"TP14","5004","TopLayer","FP-5004-MFG","23.6220","79.2480","90","PC TEST POINT MINIATURE YELLOW"
"TP7","5004","TopLayer","FP-5004-MFG","25.1460","44.3230","0","PC TEST POINT MINIATURE YELLOW"
"TP6","5004","TopLayer","FP-5004-MFG","30.8610","38.4810","0","PC TEST POINT MINIATURE YELLOW"
"R19","0402WGF750JTCE","TopLayer","RESC1005X40X25ML05T10","22.6060","47.3710","90","75R 0402"
"DS1","LTST-S270KGKT","TopLayer","AVAG-HSMX-C190_V","22.7331","44.4499","270","LED Uni-Color Yellow, 65 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"D8","SP3030-01ETG","TopLayer","FP-SP3030-MFG","18.9230","83.3120","180","TVS DIODE 5V 10V SOD882"
"D7","SP3030-01ETG","TopLayer","FP-SP3030-MFG","23.2410","83.3120","0","TVS DIODE 5V 10V SOD882"
"U13","RT9166A-18GXL","TopLayer","SOT-89_N","21.0820","4.8680","270","Positive Voltage Regulator, 5V, 4-Pin SOT-89, Tape and Reel"
"U12","XC6220B331MR-G","TopLayer","TORX-SOT-25-5_M","31.1150","13.7160","0","1A LDO Voltage Regulator with CL discharge, 3.3 V, 1000 mA, -45 to 85 degC, 5-Pin SOT-25, RoHS, Reel"
"U11","RT9166A-18GXL","TopLayer","SOT-89_N","30.0750","4.8730","270","Positive Voltage Regulator, 5V, 4-Pin SOT-89, Tape and Reel"
"U10","XC6220B331MR-G","TopLayer","TORX-SOT-25-5_M","30.2260","19.0500","360","1A LDO Voltage Regulator with CL discharge, 3.3 V, 1000 mA, -45 to 85 degC, 5-Pin SOT-25, RoHS, Reel"
"C52","CL05A105KA5NQNC","TopLayer","CAPC1005X55N","22.6060","8.7630","90","1uF 0402"
"C51","CL05A105KA5NQNC","TopLayer","CAPC1005X55N","17.5260","7.4930","180","1uF 0402"
"C50","CL05A105KA5NQNC","TopLayer","CAPC1005X55N","31.5680","8.8908","90","1uF 0402"
"C49","CL05A105KA5NQNC","TopLayer","CAPC1005X55N","26.0350","7.3660","180","1uF 0402"
"C48","CL05A106MQ5NUNC","TopLayer","CAPC1005X55N","33.2740","18.2880","270","10uF 0402"
"C47","CL05A106MQ5NUNC","TopLayer","CAPC1005X55N","30.3530","11.0490","360","10uF 0402"
"C46","CL05A106MQ5NUNC","TopLayer","CAPC1005X55N","34.4170","12.4460","270","10uF 0402"
"C45","CL05A106MQ5NUNC","TopLayer","CAPC1005X55N","29.0830","22.4790","90","10uF 0402"
"Y1","Q33310F70060700","TopLayer","FP-7M-MFG","29.8450","42.9260","90","CRYSTAL 32.0000MHZ 12PF SMD"
"SPI","640456-6","TopLayer","TECO-640456-6_V","43.5610","89.0270","360","Male Header, Pitch 2.54 mm, 1 x 6 Position, Height 10.03 mm, Tail Length 3.56 mm, -55 to 105 degC, Bulk"
"U1","STM32F427ZGT6","TopLayer","STM-LQFP144_V","27.5590","60.0710","90","ARM Cortex-M4 32-bit MCU+FPU, 210 DMIPS, 1024 kB Flash, 256 kB Internal RAM, 114 I/Os, 144-pin LQFP, -40 to 85 degC, Tray"
"USBB2","10103594-0001LF","TopLayer","FCI-10103594-0001LF_V","20.7010","91.5670","180","Micro USB 2.0 B Receptacle, -55 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"SW1","4-1437565-1","TopLayer","TECO-4-1437565-1_V","8.5090","87.2490","90","Tactile Switch, 50 mA, 12 VDC, -20 to 85 degC, 4-Pin SMD, RoHS, Bulk"
"R18","0402WGF1003TCE","TopLayer","0402","23.1140","86.8680","360","100k 0402"
"STMBOOT","95278-101A06LF","TopLayer","AMPM-95278-101A06LF_V","30.3530","88.6460","270","Male Header, Pitch 2.54 mm, 2 x 3 Position, Height 14.4 mm, RoHS, Tape and Reel"
"STLINK","61232020621","TopLayer","61232020621","6.5500","62.8650","90","Male Box Header WR-BHD, SMT, Vertical, pitch 2.54 mm, 20 pins"
"FB1","BLM21AG102SN1D","TopLayer","MURA-BLM21-H1-CHIP-2_V","38.2270","46.4820","180","Chip Ferrite Bead for General Signal lines, 1000 Ohm, 500 mA, -55 to 125 degC, 2 x 1.25 x 1.05 mm SMD, Tape and Reel"
"C44","CL05A225MQ5NSNC","TopLayer","0402","40.1320","69.3420","270","2.2uF 0402"
"C43","CL05A225MQ5NSNC","TopLayer","0402","19.8120","74.2950","270","2.2uF 0402"
"C42","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","16.0020","84.9630","360","100nF 0402"
"C41","CL05A105KA5NQNC","TopLayer","CAPC1005X55N","34.7980","46.6090","270","100nF 0402"
"C40","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","36.4490","47.8790","360","100nF 0402"
"C39","CL05A475MP5NRNC","TopLayer","CAPC1005X55N","14.7320","51.1810","180","100nF 0402"
"C38","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","38.2270","71.1200","90","100nF 0402"
"C37","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","33.1470","47.1170","270","100nF 0402"
"C36","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","40.1320","51.5620","270","100nF 0402"
"C35","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","40.1320","58.5470","270","100nF 0402"
"C34","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","41.4020","63.6270","360","100nF 0402"
"C33","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","31.1150","73.2790","360","100nF 0402"
"C32","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","25.6540","73.1520","360","100nF 0402"
"C31","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","18.5420","72.5170","360","100nF 0402"
"C30","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","14.9860","62.9920","90","100nF 0402"
"C29","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","15.1130","58.0390","90","100nF 0402"
"C27","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","26.4160","47.4980","180","100nF 0402"
"U9","SMF05CT1G","TopLayer","ONSC-SC70-6-419B-02_W_V","35.6870","7.3660","0","5-Line Transient Voltage Suppressor Array, 6-Pin SC70, Pb-Free, Tape and Reel"
"U8","SMF05CT1G","TopLayer","ONSC-SC70-6-419B-02_W_V","44.9580","9.3980","270","5-Line Transient Voltage Suppressor Array, 6-Pin SC70, Pb-Free, Tape and Reel"
"D6","SP3030-01ETG","TopLayer","FP-SP3030-MFG","83.2070","34.8425","90","TVS DIODE 5V 10V SOD882"
"D5","SP3030-01ETG","TopLayer","FP-SP3030-MFG","83.1850","30.0990","270","TVS DIODE 5V 10V SOD882"
"D4","SP3030-01ETG","TopLayer","FP-SP3030-MFG","85.7250","30.0990","270","TVS DIODE 5V 10V SOD882"
"D3","SP3030-01ETG","TopLayer","FP-SP3030-MFG","77.8510","48.8821","90","TVS DIODE 5V 10V SOD882"
"D2","SP3030-01ETG","TopLayer","FP-SP3030-MFG","77.8510","42.9260","270","TVS DIODE 5V 10V SOD882"
"D1","SP3030-01ETG","TopLayer","FP-SP3030-MFG","77.8510","38.2270","270","TVS DIODE 5V 10V SOD882"
"U7","SMF05CT1G","TopLayer","ONSC-SC70-6-419B-02_W_V","82.1690","73.9140","270","5-Line Transient Voltage Suppressor Array, 6-Pin SC70, Pb-Free, Tape and Reel"
"TP10","5004","TopLayer","FP-5004-MFG","70.3580","9.0170","90","PC TEST POINT MINIATURE YELLOW"
"TP9","5004","TopLayer","FP-5004-MFG","70.6120","65.2780","0","PC TEST POINT MINIATURE YELLOW"
"TP8","5004","TopLayer","FP-5004-MFG","70.4850","16.8910","0","PC TEST POINT MINIATURE YELLOW"
"TP5","5004","TopLayer","FP-5004-MFG","84.0740","20.1930","0","PC TEST POINT MINIATURE YELLOW"
"TP4","5004","TopLayer","FP-5004-MFG","81.6610","38.3540","0","PC TEST POINT MINIATURE YELLOW"
"TP3","5004","TopLayer","FP-5004-MFG","32.5120","24.1300","0","PC TEST POINT MINIATURE YELLOW"
"TP2","5004","TopLayer","FP-5004-MFG","22.0980","23.1140","0","PC TEST POINT MINIATURE YELLOW"
"TP1","5004","TopLayer","FP-5004-MFG","15.4940","23.7490","0","PC TEST POINT MINIATURE YELLOW"
"R10","0402WGF750JTCE","TopLayer","RESC1005X40X25ML05T10","47.2440","44.1960","360","75R 0402"
"R9","0402WGF750JTCE","TopLayer","RESC1005X40X25ML05T10","41.6560","42.2910","90","75R 0402"
"R8","0402WGF750JTCE","TopLayer","RESC1005X40X25ML05T10","69.9770","54.1020","180","75R 0402"
"DS6","LTST-S270KGKT","TopLayer","AVAG-HSMX-C190_V","46.4821","41.7829","270","LED Uni-Color Yellow, 65 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"DS5","LTST-S270KGKT","TopLayer","AVAG-HSMX-C190_V","41.6561","39.4969","270","LED Uni-Color Yellow, 65 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"DS4","LTST-S270KGKT","TopLayer","AVAG-HSMX-C190_V","72.8981","54.1021","360","LED Uni-Color Yellow, 65 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
"P4","640456-6","TopLayer","TECO-640456-6_V","90.0430","71.6280","270","Male Header, Pitch 2.54 mm, 1 x 6 Position, Height 10.03 mm, Tail Length 3.56 mm, -55 to 105 degC, Bulk"
"DS7","NCD0603R5","TopLayer","AVAG-HSMX-C190_V","67.3099","36.9571","90","0603 LIGHT EMITTING DIODES (LED) ROHS"
"R13","0402WGF750JTCE","TopLayer","RESC1005X40X25ML05T10","65.2780","36.7030","90","75R 0402"
"SJ2","0R","TopLayer","J1-0603","73.7060","29.6058","180","Resistor"
"C22","CL31A476MPHNNNE","TopLayer","C1206","78.1050","29.3370","180","47uF 1206"
"C21","CL31A476MPHNNNE","TopLayer","C1206","78.1050","26.4160","180","47uF 1206"
"IC2","FSUSB42MUX","TopLayer","FP-846AP-MFG","69.5960","27.4320","90","IC USB SWITCH DPDT 10MSOP"
"C20","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","66.1670","25.5270","180","100nF 0402"
"USBB1","10103594-0001LF","TopLayer","FCI-10103594-0001LF_V","91.9590","32.6925","90","Micro USB 2.0 B Receptacle, -55 to 85 degC, 5-Pin SMD, RoHS, Tape and Reel"
"USBBOOT","Header 3","TopLayer","HDR1X3","90.2970","24.6380","180","Header, 3-Pin"
"Q2","DMG1012T-7","TopLayer","DIOD-SOT523-3_V","66.5480","40.8940","270","N-Channel Enhancement Mode MOSFET, 20 V, 630 mA, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"Q1","DMG1012T-7","TopLayer","DIOD-SOT523-3_V","69.4690","40.8940","360","N-Channel Enhancement Mode MOSFET, 20 V, 630 mA, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"USBA","61400416021","TopLayer","61400416021","83.3760","50.0380","90","USB 2.0 Type A Receptacle WR-COM, Horizontal, THT"
"R12","0402WGF1003TCE","TopLayer","0402","65.7860","47.8790","360","100k 0402"
"R11","0402WGJ0473TCE","TopLayer","0402-A","68.8340","43.8150","270","47k 0402"
"Q3","DMG1012T-7","TopLayer","DIOD-SOT523-3_V","74.8030","22.4790","270","N-Channel Enhancement Mode MOSFET, 20 V, 630 mA, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"R14","0402WGJ0473TCE","TopLayer","0402-A","74.2799","27.2767","270","47k 0402"
"R15","0402WGJ0473TCE","TopLayer","0402-A","77.8510","22.6060","90","47k 0402"
"JTAG","68710814522","TopLayer","68710814522","41.0210","3.9160","360","SMT ZIF Connectors WR-FPC, Horizontal, Bottom Contact, pitch 0.5 mm, 8 pins"
"R17","0402WGF1001TCE","TopLayer","0402","21.9710","41.4020","90","1k 0402"
"R16","0402WGF1001TCE","TopLayer","0402","23.7490","38.7350","180","1k 0402"
"Q4","DMG1012T-7","TopLayer","DIOD-SOT523-3_V","18.1610","40.8940","360","N-Channel Enhancement Mode MOSFET, 20 V, 630 mA, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"Q5","DMG1012T-7","TopLayer","DIOD-SOT523-3_V","20.9550","38.7350","360","N-Channel Enhancement Mode MOSFET, 20 V, 630 mA, -55 to 150 degC, 3-Pin SOT23, RoHS, Tape and Reel"
"HDMIPORT","685119134923","TopLayer","685119134923","8.1480","32.7660","270","HDMI Type A Receptacle WR-HDMI, Horizontal, SMT"
"U6","AP2331W-7","TopLayer","FP-SC59-IPC_B","14.9860","44.1960","90","LOAD SWITCH SC59"
"C24","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","18.0340","43.8150","360","100nF 0402"
"C23","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","18.0340","45.9740","360","100nF 0402"
"C28","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","21.3360","47.3710","270","100nF 0402"
"C26","CL05C100JB5NNNC","TopLayer","CAPC1005X55N","28.9560","46.9900","180","100nF 0402"
"C25","CL05C100JB5NNNC","TopLayer","CAPC1005X55N","31.2420","46.9900","360","100nF 0402"
"J1","2040910-1","TopLayer","20409101","57.4060","46.6990","270","200 Pin Connector"
"C18","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","63.8410","17.3990","360","100nF 0402"
"C17","CL05B103KB5NNNC","TopLayer","CAPC1005X55N","63.8410","18.7960","360","10nF 0402"
"C16","0402CG560J500NT","TopLayer","CAPC1005X55N","63.8410","20.0660","360","56pF 0402"
"C15","0402CG150J500NT","TopLayer","CAPC1005X90N","63.5000","22.0980","270","15pF 0402"
"C13","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","50.4190","66.1670","180","100nF 0402"
"C12","CL05B103KB5NNNC","TopLayer","CAPC1005X55N","50.0380","16.1290","270","10nF 0402"
"C11","0402CG560J500NT","TopLayer","CAPC1005X55N","64.1000","66.0400","360","56pF 0402"
"C10","0402CG150J500NT","TopLayer","CAPC1005X90N","64.1400","62.9920","180","15pF 0402"
"C8","CL05B104KO5NNNC","TopLayer","CAPC1005X55N","63.8410","12.5730","0","100nF 0402"
"C7","CL05B103KB5NNNC","TopLayer","CAPC1005X55N","48.7680","14.3510","180","10nF 0402"
"C6","0402CG560J500NT","TopLayer","CAPC1005X55N","63.8410","13.9700","0","56pF 0402"
"C5","0402CG150J500NT","TopLayer","CAPC1005X90N","63.8810","15.3670","180","15pF 0402"
"R7","0402WGF750JTCE","TopLayer","RESC1005X40X25ML05T10","37.2110","25.0190","360","75R 0402"
"R6","0402WGF1801TCE","TopLayer","0402","45.7200","76.4540","90","1.8k 0402"
"R5","0402WGF1801TCE","TopLayer","0402","45.7200","78.4860","270","1.8k 0402"
"R4","0402WGF1003TCE","TopLayer","0402","64.0080","49.6570","0","100k 0402"
"R3","0402WGF1003TCE","TopLayer","0402","64.0080","50.6730","0","100k 0402"
"R2","0402WGF1003TCE","TopLayer","0402","64.1350","69.3420","0","100k 0402"
"R1","0402WGF1003TCE","TopLayer","0402","64.1350","70.4850","0","100k 0402"
"J2","694106105102","TopLayer","694106105102","10.6320","13.2080","270","DC Power Jack Connector with Pegs WR-DC, Male, Right Angled, SMT, 5 A, 24 V"
"F1","ASMD1812-300","TopLayer","LFUS-FUSE1812-71_V","23.6220","12.7000","0","Resettable PTC, 1812, 3 A Ihold, 5 A Itrip, 8V max"
"PWR1","LTST-S270KGKT","TopLayer","AVAG-HSMX-C190_V","39.7511","25.0191","360","LED Uni-Color Yellow, 65 mW, 20 mA, -40 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel"
